Title,Phone,Fax,Website,Address,Activity,Manager
HERBIER DE L'ATLAS,0524445834,0524445835,N/A,"av. Abdelkrim Khattabi, résid. Errahma 40000 Marrakech - Morocco",export of aromatic and medicinal plants,"Mohamed Benider
( Manager )"
DIMA TERROIR MAROC,0661245728,N/A,http://www.maroc-terroir.com,imm. Fath 65 - Assif.B 40000 Marrakech - Morocco,"Distribution of local Moroccan products: spices, oils, honey, dried fruits and saffron","Patrick Marchand
( Manager )"
AFRI FRUIT,0522362878,N/A,N/A,"56, rue d' Ifrane - ex Toulouse , Cil 20200 Casablanca - Morocco","Production of almond oil, red fruits and dates. Fruit tree growing","Saâd Berrada Sounni
( Chairman and CEO )"
GROUPE KANTARI,0536617779,0536617778,N/A,km.2 route de Saïdia - BP 416 60300 Berkane - Morocco,Production and export of citrus fruits and vegetables,"Kamal Kantari
( Chairman and CEO )"
DOMAINE ELBOURA,0528852443,0528852306,N/A,Km.2 route Aït Iazza- BP 259 83000 Taroudant - Morocco,"Production, packaging and export of citrus fruits","Abdellah Radouani
( Authorized representative )"
LARAGEL,0539901890,0539900953,N/A,"Rte nationale Tanger - Km. 100 Laouamra, Ksar El Kebir 92000 Larache - Morocco",Production and export of fresh and frozen red fruits,"Mohamed Ghallab
( Manager )"
AGRO SAISS FOOD,0661600554,N/A,N/A,"5, route Ras El Mae 30000 Fés - Morocco",Export of fruits and vegetables,"Houssine Lahlou
( Manager )"
LA VALLÉE DU MIEL NATUREL,0522448814,0522319064,N/A,"112, rue Abou Mansour Taalabi 20550 Casablanca - Morocco",Beekeeping. Honey production,"Mostafa Ezzarzour
( Manager )"
SOHNA(société oléicole des huiles Nasma),0535654392,0535650314,N/A,"48 rue de Khouribga, Q.I. Dokkarat 30000 Fés - Morocco",Production and bottling of olive oil. black olive,"Mohamed Bouayad
( Manager )"
FANDY COPRAGRI(Cie agricole de commercialisation et de conditionnement des céréales et légumineuses),0522353141,0522350869,N/A,"bd Moulay Ismaïl , km 6,3 20300 Casablanca - Morocco",Import of cereals and legumes,ElHachmi Boutgueray ( President)
ZINEGLOB,0528816352,N/A,N/A,"zone industrielle Sidi Bibi, Ait Baha 80000 Agadir - Morocco",Sale and export of argan oil and organic cosmetics,"Abdelghani Zine
( Manager )"
SANTIS,0522237407,0522236857,N/A,"7, rue Abou Ghaleb Chiani - ex Velay 20100 Casablanca - Morocco","Export of medicinal plants, spices.","Khalid Bennani
( Manager )"
